year,JDT,DOY,Time,litu1e,litu2e,litu3e,litu4e,litu5e,litu1w,litu2w,litu3w,litu4w,litu5w
2003,4754.21,6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.23,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.25,6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.27,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.29,6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.31,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.33,6,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.35,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.38,6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.4,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.42,6,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.44,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.46,6,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.48,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.5,6,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.52,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.54,6,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.56,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.58,6,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.6,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.63,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.65,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.67,6,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.69,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.71,6,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.73,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.75,6,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.77,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.79,6,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.81,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.83,6,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.85,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.88,6,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.9,6,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.92,6,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.94,6,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.96,6,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4754.98,6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.02,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.04,7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.06,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.08,7,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.13,7,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.15,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.17,7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.19,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.21,7,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.23,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.25,7,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.27,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.29,7,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.31,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.33,7,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.35,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.38,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.4,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.42,7,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.44,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.46,7,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.48,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.5,7,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4755.52,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
