year,JDT,DOY,Time,PAR.HW
2003,4759.08,11,2.5,0
2003,4759.1,11,3,0
2003,4759.13,11,3.5,0
2003,4759.15,11,4,0
2003,4759.17,11,4.5,0
2003,4759.19,11,5,0
2003,4759.21,11,5.5,0
2003,4759.23,11,6,0
2003,4759.25,11,6.5,0
2003,4759.27,11,7,0
2003,4759.29,11,7.5,0
2003,4759.31,11,8,57.919998
2003,4759.33,11,8.5,177.10001
2003,4759.35,11,9,325.29999
2003,4759.38,11,9.5,472.39999
2003,4759.4,11,10,612.09998
2003,4759.42,11,10.5,736
2003,4759.44,11,11,837
2003,4759.46,11,11.5,914
2003,4759.48,11,12,964
2003,4759.5,11,12.5,985
2003,4759.52,11,13,976
2003,4759.54,11,13.5,941
2003,4759.56,11,14,878
2003,4759.58,11,14.5,791
2003,4759.6,11,15,676.79999
2003,4759.63,11,15.5,541.29999
2003,4759.65,11,16,250.2
2003,4759.67,11,16.5,229.8
2003,4759.69,11,17,87.099998
2003,4759.71,11,17.5,0
2003,4759.73,11,18,0
2003,4759.75,11,18.5,0
2003,4759.77,11,19,0
2003,4759.79,11,19.5,0
2003,4759.81,11,20,0
2003,4759.83,11,20.5,0
2003,4759.85,11,21,0
2003,4759.88,11,21.5,0
2003,4759.9,11,22,0
2003,4759.92,11,22.5,0
2003,4759.94,11,23,0
2003,4759.96,11,23.5,0
2003,4759.98,11,24,0
2003,4760,12,0.5,0
2003,4760.02,12,1,0
2003,4760.04,12,1.5,0
2003,4760.06,12,2,0
2003,4760.08,12,2.5,0
2003,4760.1,12,3,0
2003,4760.13,12,3.5,0
2003,4760.15,12,4,0
2003,4760.17,12,4.5,0
2003,4760.19,12,5,0
2003,4760.21,12,5.5,0
2003,4760.23,12,6,0
2003,4760.25,12,6.5,0
2003,4760.27,12,7,0
2003,4760.29,12,7.5,0
2003,4760.31,12,8,75.599998
2003,4760.33,12,8.5,209.89999
2003,4760.35,12,9,400.29999
2003,4760.38,12,9.5,507.89999
2003,4760.4,12,10,631.70001
2003,4760.42,12,10.5,755
2003,4760.44,12,11,786
2003,4760.46,12,11.5,870
2003,4760.48,12,12,969
2003,4760.5,12,12.5,962
2003,4760.52,12,13,960
2003,4760.54,12,13.5,927
2003,4760.56,12,14,788
2003,4760.58,12,14.5,716
2003,4760.6,12,15,645.5
2003,4760.63,12,15.5,482.5
2003,4760.65,12,16,283.39999
2003,4760.67,12,16.5,190.89999
2003,4760.69,12,17,69.419998
2003,4760.71,12,17.5,0
2003,4760.73,12,18,0
2003,4760.75,12,18.5,0
2003,4760.77,12,19,0
2003,4760.79,12,19.5,0
2003,4760.81,12,20,0
2003,4760.83,12,20.5,0
2003,4760.85,12,21,0
2003,4760.88,12,21.5,0
2003,4760.9,12,22,0
2003,4760.92,12,22.5,0
2003,4760.94,12,23,0
2003,4760.96,12,23.5,0
2003,4760.98,12,24,0
2003,4761,13,0.5,0
2003,4761.02,13,1,0
2003,4761.04,13,1.5,0
2003,4761.06,13,2,0
2003,4761.08,13,2.5,0
2003,4761.1,13,3,0
2003,4761.13,13,3.5,0
2003,4761.15,13,4,0
2003,4761.17,13,4.5,0
2003,4761.19,13,5,0
2003,4761.21,13,5.5,0
2003,4761.23,13,6,0
2003,4761.25,13,6.5,0
2003,4761.27,13,7,0
2003,4761.29,13,7.5,0
2003,4761.31,13,8,49.990002
2003,4761.33,13,8.5,219.8
2003,4761.35,13,9,224.8
2003,4761.38,13,9.5,236.2
2003,4761.4,13,10,283.10001
2003,4761.42,13,10.5,465.10001
2003,4761.44,13,11,577.09998
2003,4761.46,13,11.5,339.79999
2003,4761.48,13,12,415.70001
2003,4761.5,13,12.5,933
2003,4761.52,13,13,854
2003,4761.54,13,13.5,755
2003,4761.56,13,14,447.79999
2003,4761.58,13,14.5,904
2003,4761.6,13,15,435.29999
2003,4761.63,13,15.5,382.60001
2003,4761.65,13,16,192.5
2003,4761.67,13,16.5,145.10001
2003,4761.69,13,17,63.759998
2003,4761.71,13,17.5,0
2003,4761.73,13,18,0
2003,4761.75,13,18.5,0
2003,4761.77,13,19,0
2003,4761.79,13,19.5,0
2003,4761.81,13,20,0
2003,4761.83,13,20.5,0
2003,4761.85,13,21,0
2003,4761.88,13,21.5,0
2003,4761.9,13,22,0
2003,4761.92,13,22.5,0
2003,4761.94,13,23,0
2003,4761.96,13,23.5,0
2003,4761.98,13,24,0
2003,4762,14,0.5,0
2003,4762.02,14,1,0
2003,4762.04,14,1.5,0
2003,4762.06,14,2,0
2003,4762.08,14,2.5,0
2003,4762.1,14,3,0
2003,4762.13,14,3.5,0
2003,4762.15,14,4,0
2003,4762.17,14,4.5,0
2003,4762.19,14,5,0
2003,4762.21,14,5.5,0
2003,4762.23,14,6,0
2003,4762.25,14,6.5,0
2003,4762.27,14,7,0
2003,4762.29,14,7.5,0
2003,4762.31,14,8,78
2003,4762.33,14,8.5,179.10001
2003,4762.35,14,9,350.39999
2003,4762.38,14,9.5,233.3
2003,4762.4,14,10,334.70001
2003,4762.42,14,10.5,431.89999
2003,4762.44,14,11,522.20001
2003,4762.46,14,11.5,552.79999
2003,4762.48,14,12,588.20001
2003,4762.5,14,12.5,834
2003,4762.52,14,13,757
2003,4762.54,14,13.5,805
2003,4762.56,14,14,628
2003,4762.58,14,14.5,428.10001
2003,4762.6,14,15,232.5
2003,4762.63,14,15.5,114.8
2003,4762.65,14,16,161.3
2003,4762.67,14,16.5,114.2
2003,4762.69,14,17,67.480003
2003,4762.71,14,17.5,0
2003,4762.73,14,18,0
2003,4762.75,14,18.5,0
2003,4762.77,14,19,0
2003,4762.79,14,19.5,0
2003,4762.81,14,20,0
2003,4762.83,14,20.5,0
2003,4762.85,14,21,0
2003,4762.88,14,21.5,0
2003,4762.9,14,22,0
2003,4762.92,14,22.5,0
2003,4762.94,14,23,0
2003,4762.96,14,23.5,0
2003,4762.98,14,24,0
2003,4763,15,0.5,0
2003,4763.02,15,1,0
2003,4763.04,15,1.5,0
2003,4763.06,15,2,0
2003,4763.08,15,2.5,0
2003,4763.1,15,3,0
2003,4763.13,15,3.5,0
2003,4763.15,15,4,0
2003,4763.17,15,4.5,0
2003,4763.19,15,5,0
2003,4763.21,15,5.5,0
2003,4763.23,15,6,0
2003,4763.25,15,6.5,0
2003,4763.27,15,7,0
2003,4763.29,15,7.5,0
2003,4763.31,15,8,65.029999
2003,4763.33,15,8.5,189.60001
2003,4763.35,15,9,338.60001
2003,4763.38,15,9.5,486
2003,4763.4,15,10,628.29999
2003,4763.42,15,10.5,752
2003,4763.44,15,11,857
2003,4763.46,15,11.5,936
2003,4763.48,15,12,994
2003,4763.5,15,12.5,1015
2003,4763.52,15,13,1010
2003,4763.54,15,13.5,980
2003,4763.56,15,14,916
2003,4763.58,15,14.5,830
2003,4763.6,15,15,713
2003,4763.63,15,15.5,578.79999
2003,4763.65,15,16,273.89999
2003,4763.67,15,16.5,270.89999
2003,4763.69,15,17,94.800003
2003,4763.71,15,17.5,0
2003,4763.73,15,18,0
2003,4763.75,15,18.5,0
2003,4763.77,15,19,0
2003,4763.79,15,19.5,0
2003,4763.81,15,20,0
2003,4763.83,15,20.5,0
2003,4763.85,15,21,0
2003,4763.88,15,21.5,0
2003,4763.9,15,22,0
2003,4763.92,15,22.5,0
2003,4763.94,15,23,0
2003,4763.96,15,23.5,0
2003,4763.98,15,24,0
2003,4764,16,0.5,0
2003,4764.02,16,1,0
2003,4764.04,16,1.5,0
2003,4764.06,16,2,0
2003,4764.08,16,2.5,0
2003,4764.1,16,3,0
2003,4764.13,16,3.5,0
2003,4764.15,16,4,0
2003,4764.17,16,4.5,0
2003,4764.19,16,5,0
2003,4764.21,16,5.5,0
2003,4764.23,16,6,0
2003,4764.25,16,6.5,0
2003,4764.27,16,7,0
2003,4764.29,16,7.5,0
2003,4764.31,16,8,31.93
2003,4764.33,16,8.5,97.599998
2003,4764.35,16,9,268
2003,4764.38,16,9.5,387
2003,4764.4,16,10,441.60001
2003,4764.42,16,10.5,444.39999
