year,JDT,DOY,Time,SM.HW
2003,4756.02,8,100,0.437140639
2003,4756.04,8,130,0.437139779
2003,4756.06,8,200,0.437194178
2003,4756.08,8,230,0.436883917
2003,4756.1,8,300,0.436806793
2003,4756.13,8,330,0.436628333
2003,4756.15,8,400,0.436538114
2003,4756.17,8,430,0.436537247
2003,4756.19,8,500,0.436536388
2003,4756.21,8,530,0.436348487
2003,4756.23,8,600,0.436347627
2003,4756.25,8,630,0.436346763
2003,4756.27,8,700,0.436345901
2003,4756.29,8,730,0.436345039
2003,4756.31,8,800,0.436344177
2003,4756.33,8,830,0.436343314
2003,4756.35,8,900,0.436342453
2003,4756.38,8,930,0.436341591
2003,4756.4,8,1000,0.436251542
2003,4756.42,8,1030,0.436250679
2003,4756.44,8,1100,0.436238374
2003,4756.46,8,1130,0.436247457
2003,4756.48,8,1200,0.436246593
2003,4756.5,8,1230,0.436245729
2003,4756.52,8,1300,0.436356333
2003,4756.54,8,1330,0.4362795
2003,4756.56,8,1400,0.436223381
2003,4756.58,8,1430,0.436222519
2003,4756.6,8,1500,0.436221653
2003,4756.63,8,1530,0.436165575
2003,4756.65,8,1600,0.435725927
2003,4756.67,8,1630,0.435360081
2003,4756.69,8,1700,0.435210123
2003,4756.71,8,1730,0.435154071
2003,4756.73,8,1800,0.434952181
2003,4756.75,8,1830,0.434751511
2003,4756.77,8,1900,0.434584421
2003,4756.79,8,1930,0.434537535
2003,4756.81,8,2000,0.434447652
2003,4756.83,8,2030,0.434372603
2003,4756.85,8,2100,0.434260859
2003,4756.88,8,2130,0.434204842
2003,4756.9,8,2200,0.434259117
2003,4756.92,8,2230,0.434184214
2003,4756.94,8,2300,0.434183342
2003,4756.96,8,2330,0.434182469
2003,4756.98,8,2400,0.433928242
2003,4757,9,30,0.433927369
2003,4757.02,9,100,0.43383692
2003,4757.04,9,130,0.433725371
2003,4757.06,9,200,0.433498282
2003,4757.08,9,230,0.433497409
2003,4757.1,9,300,0.433496535
2003,4757.13,9,330,0.433495663
2003,4757.15,9,400,0.433494791
2003,4757.17,9,430,0.433493918
2003,4757.19,9,500,0.433419153
2003,4757.21,9,530,0.433507854
2003,4757.23,9,600,0.433418145
2003,4757.25,9,630,0.433417271
2003,4757.27,9,700,0.433416399
2003,4757.29,9,730,0.433415523
2003,4757.31,9,800,0.433466119
2003,4757.33,9,830,0.433465245
2003,4757.35,9,900,0.43321141
